#lufz Lufz-en-v0.10	words=192737
THE	1	1	1	DH AH
OF	2	1	1	AH V
AND	4	1	3	AE N D
IN	6	1	5	IH N
TO	7	1	2	T AH
WAS	9	1	10	W AA Z
IS	10	1	10	AY Z
AS	12	1	2	AE Z
FOR	13	1	2	F AO R
ON	14	1	4	AA N
WITH	16	1	12	W IH DH
BY	17	1	1	B AY
THAT	18	1	64	DH AE T
HE	20	1	2	HH IY
FROM	21	1	1	F R AH M
AT	23	1	3	AE T
HIS	25	1	2	HH IH Z
IT	26	1	2	IH T
AN	27	1	1	AE N
WERE	28	1	10	W ER
WHICH	29	1	3	HH W IH CH
ARE	30	1	10	AA R
OR	32	1	3	AO R
HAD	33	1	15	HH AE D
THIS	34	1	2	DH IH S
BE	36	1	10	B IY
ALSO	37	1	1	AO L S OW
FIRST	38	1	64	F ER S T
HAS	39	1	1	HH AE Z
ITS	40	1	2	IH T S
THEIR	42	1	4	DH EH R
ONE	43	1	8	HH W AH N
AFTER	44	1	41	AE F T ER
NOT	45	1	4	N AA T
BUT	46	1	2	B AH T
NEW	47	1	5	N UW
WHO	48	1	15	HH UW
THEY	50	1	2	DH EY
HAVE	51	1	15	HH AE V
TWO	52	1	1	T UW
BEEN	53	1	10	B AH N
OTHER	54	1	10	AH DH ER
HER	55	1	2	HH ER
ALL	56	1	5	AO L
DURING	57	1	4	D ER IH NG
WHEN	58	1	2	HH W EH N
SHE	59	1	2	SH IY
THERE	60	1	64	DH EH R
TIME	61	1	13	T AY M
INTO	62	1	2	IH N T AH
MORE	63	1	3	M AO R
YEARS	64	1	5	Y IH R Z
OVER	65	1	18	OW V ER
WOULD	66	1	22	W UH D
MAY	67	1	14	M EY
MOST	68	1	2	M OW S
ONLY	69	1	1	OW N L IY
BETWEEN	70	1	18	B IH T W IY N
CITY	71	1	2	S IH T IY
LATER	74	1	14	L EY T ER
YEAR	75	1	5	Y IH R
SOME	76	1	2	S AH M
SUCH	77	1	4	S AH CH
UP	78	1	6	AH P
SCHOOL	79	1	64	S K UW L
USED	80	1	8	Y UW Z D
THREE	81	1	64	TH R IY
WHILE	82	1	11	HH W AY L
CAN	83	1	10	K AE N
UNDER	84	1	64	AH N D ER
WHERE	85	1	39	HH W EH R
WORLD	87	1	43	W ER L D
ABOUT	88	1	18	AH B AW T
MADE	89	1	18	M EY D
THEN	90	1	2	DH EH N
THESE	91	1	3	DH IY Z
HIM	92	1	2	HH IH M
OUT	93	1	9	AW T
NO	95	1	2	N OW
MANY	96	1	3	M EH N IY
STATE	97	1	52	S T EY T
KNOWN	98	1	24	N OW N
THAN	99	1	1	DH AE N
PART	100	1	17	P AA R T
UNITED	102	1	43	Y UW N AY T AH D
BECAME	103	1	6	B IH K EY M
INCLUDING	104	1	7	IH N K L UW D IH NG
BEING	105	1	10	B IY IH NG
WAR	106	1	5	W AO R
NATIONAL	107	1	64	N AE SH AH N AH L
STATES	108	1	52	S T EY T S
THROUGH	109	1	32	TH R UW
EARLY	111	1	20	ER L IY
BOTH	112	1	1	B OW TH
SECOND	113	1	64	S EH K AH N D
WELL	114	1	16	W EH L
BEFORE	115	1	11	B IH F AO R
HOWEVER	116	1	1	HH AW EH V ER
FILM	117	1	5	F IH L M
PEOPLE	118	1	29	P IY P AH L
SOUTH	120	1	64	S AW TH
AREA	121	1	2	EH R IY AH
UNTIL	122	1	7	AH N T IH L
HIGH	123	1	10	HH AY
